Date,Close/Last,Volume,Open,High,Low
03/04/2022,2.2425,N/A,2.2425,2.2425,2.2425
03/03/2022,2.229,N/A,2.229,2.229,2.229
03/02/2022,2.292,N/A,2.292,2.292,2.292
03/01/2022,2.36,N/A,2.36,2.36,2.36
02/28/2022,2.329,N/A,2.329,2.329,2.329
02/25/2022,2.3865,N/A,2.3865,2.3865,2.3865
02/24/2022,2.379,N/A,2.379,2.379,2.379
02/23/2022,2.4755,N/A,2.4755,2.4755,2.4755
02/22/2022,2.4725,N/A,2.4725,2.4725,2.4725
02/18/2022,2.46,N/A,2.46,2.46,2.46
02/17/2022,2.5065,N/A,2.5065,2.5065,2.5065
02/16/2022,2.5225,N/A,2.5225,2.5225,2.5225
02/15/2022,2.5185,N/A,2.5185,2.5185,2.5185
02/14/2022,2.4755,N/A,2.4755,2.4755,2.4755
02/11/2022,2.5165,N/A,2.5165,2.5165,2.5165
02/10/2022,2.552,N/A,2.552,2.552,2.552
02/09/2022,2.5835,N/A,2.5835,2.5835,2.5835
02/08/2022,2.4895,N/A,2.4895,2.4895,2.4895
02/07/2022,2.4165,N/A,2.4165,2.4165,2.4165
02/04/2022,2.4185,N/A,2.4185,2.4185,2.4185
02/03/2022,2.439,N/A,2.439,2.439,2.439
02/02/2022,2.388,N/A,2.388,2.388,2.388
02/01/2022,2.367,N/A,2.367,2.367,2.367
01/31/2022,2.351,N/A,2.351,2.351,2.351
01/28/2022,2.359,N/A,2.359,2.359,2.359
01/27/2022,2.3205,N/A,2.3205,2.3205,2.3205
01/26/2022,2.389,N/A,2.389,2.389,2.389
01/25/2022,2.379,N/A,2.379,2.379,2.379
01/24/2022,2.3295,N/A,2.3295,2.3295,2.3295
01/21/2022,2.379,N/A,2.379,2.379,2.379
01/20/2022,2.4365,N/A,2.4365,2.4365,2.4365
01/19/2022,2.4445,N/A,2.4445,2.4445,2.4445
01/18/2022,2.396,N/A,2.396,2.396,2.396
01/14/2022,2.3965,N/A,2.3965,2.3965,2.3965
01/13/2022,2.37,N/A,2.37,2.37,2.37
01/12/2022,2.4085,N/A,2.4085,2.4085,2.4085
01/11/2022,2.3705,N/A,2.3705,2.3705,2.3705
01/10/2022,2.349,N/A,2.349,2.349,2.349
01/07/2022,2.3845,N/A,2.3845,2.3845,2.3845
01/06/2022,2.317,N/A,2.317,2.317,2.317
01/05/2022,1.9015,N/A,1.9015,1.9015,1.9015
01/04/2022,2.3175,N/A,2.3175,2.3175,2.3175
01/03/2022,2.233,N/A,2.233,2.233,2.233
12/31/2021,2.261,N/A,2.261,2.261,2.261
12/30/2021,2.2885,N/A,2.2885,2.2885,2.2885
12/29/2021,2.289,N/A,2.289,2.289,2.289
12/28/2021,2.256,N/A,2.256,2.256,2.256
12/27/2021,2.2705,N/A,2.2705,2.2705,2.2705
12/23/2021,2.312,N/A,2.312,2.312,2.312
12/22/2021,2.3355,N/A,2.3355,2.3355,2.3355
12/21/2021,2.2825,N/A,2.2825,2.2825,2.2825
12/20/2021,2.241,N/A,2.241,2.241,2.241
12/17/2021,2.3475,N/A,2.3475,2.3475,2.3475
12/16/2021,2.3685,N/A,2.3685,2.3685,2.3685
12/15/2021,2.373,N/A,2.373,2.373,2.373
12/14/2021,2.3715,N/A,2.3715,2.3715,2.3715
12/13/2021,2.367,N/A,2.367,2.367,2.367
12/10/2021,2.326,N/A,2.326,2.326,2.326
12/09/2021,2.402,N/A,2.402,2.402,2.402
12/08/2021,2.442,N/A,2.442,2.442,2.442
12/07/2021,2.433,N/A,2.433,2.433,2.433
12/06/2021,2.4985,N/A,2.4985,2.4985,2.4985
12/03/2021,2.4335,N/A,2.4335,2.4335,2.4335
12/02/2021,2.366,N/A,2.366,2.366,2.366
12/01/2021,2.3325,N/A,2.3325,2.3325,2.3325
11/30/2021,2.323,N/A,2.323,2.323,2.323
11/29/2021,2.33,N/A,2.33,2.33,2.33
11/26/2021,2.4295,N/A,2.4295,2.4295,2.4295
11/24/2021,2.454,N/A,2.454,2.454,2.454
11/23/2021,2.4205,N/A,2.4205,2.4205,2.4205
11/22/2021,2.313,N/A,2.313,2.313,2.313
11/19/2021,2.334,N/A,2.334,2.334,2.334
11/18/2021,2.2895,N/A,2.2895,2.2895,2.2895
11/17/2021,2.326,N/A,2.326,2.326,2.326
11/16/2021,2.2205,N/A,2.2205,2.2205,2.2205
11/15/2021,2.2275,N/A,2.2275,2.2275,2.2275
11/12/2021,2.197,N/A,2.197,2.197,2.197
11/11/2021,2.109,N/A,2.109,2.109,2.109
11/10/2021,2.04,N/A,2.04,2.04,2.04
11/09/2021,2.059,N/A,2.059,2.059,2.059
11/08/2021,1.9965,N/A,1.9965,1.9965,1.9965
11/05/2021,2.0355,N/A,2.0355,2.0355,2.0355
11/04/2021,2.086,N/A,2.086,2.086,2.086
11/03/2021,2.093,N/A,2.093,2.093,2.093
11/02/2021,2.0805,N/A,2.0805,2.0805,2.0805
11/01/2021,2.087,N/A,2.087,2.087,2.087
10/29/2021,2.0395,N/A,2.0395,2.0395,2.0395
10/28/2021,1.9995,N/A,1.9995,1.9995,1.9995
10/27/2021,2.0135,N/A,2.0135,2.0135,2.0135
10/26/2021,2.081,N/A,2.081,2.081,2.081
10/25/2021,2.0255,N/A,2.0255,2.0255,2.0255
10/22/2021,1.9985,N/A,1.9985,1.9985,1.9985
10/21/2021,2.033,N/A,2.033,2.033,2.033
10/20/2021,2.0555,N/A,2.0555,2.0555,2.0555
10/19/2021,2.0425,N/A,2.0425,2.0425,2.0425
10/18/2021,2.016,N/A,2.016,2.016,2.016
10/15/2021,2.034,N/A,2.034,2.034,2.034
10/14/2021,2.0925,N/A,2.0925,2.0925,2.0925
10/13/2021,2.0865,N/A,2.0865,2.0865,2.0865
10/12/2021,2.1315,N/A,2.1315,2.1315,2.1315
10/11/2021,2.0425,N/A,2.0425,2.0425,2.0425
10/08/2021,2.0135,N/A,2.0135,2.0135,2.0135
10/07/2021,1.979,N/A,1.979,1.979,1.979
10/06/2021,1.9345,N/A,1.9345,1.9345,1.9345
10/05/2021,1.919,N/A,1.919,1.919,1.919
