Date,Close/Last,Volume,Open,High,Low
03/04/2022,756.5,1944,761.75,800,741
03/03/2022,751.25,3331,745,778.5,745
03/02/2022,739,3067,741.75,760,723
03/01/2022,739.75,6543,699.75,744.25,699.75
02/28/2022,697.5,14563,688,704.75,679
02/25/2022,659.5,87288,696.75,707,657
02/24/2022,695,140239,683.5,718.75,682
02/23/2022,683.75,118467,674,685,669.25
02/22/2022,674.75,115693,657.75,676.75,657.75
02/18/2022,654.25,125510,648.5,658,647
02/17/2022,650,95318,645.5,652,642.75
02/16/2022,647,94712,637.75,647.75,636.25
02/15/2022,638,158499,655,655.5,635.5
02/14/2022,655.75,127390,651.25,656.75,642.5
02/11/2022,651,204452,641,657.75,637.75
02/10/2022,641.75,335025,646,662.75,638.75
02/09/2022,646.75,284504,632.25,647.75,630.5
02/08/2022,632.25,168812,636.5,636.75,627.25
02/07/2022,635.25,199426,628.75,636.75,624.75
02/04/2022,620.5,161305,618.5,623.25,613.25
02/03/2022,616.75,193890,622.5,624.25,610.25
02/02/2022,622.5,250066,634.5,640.75,616.75
02/01/2022,634.75,167602,626,639.5,624.5
01/31/2022,626,218603,635.75,642.5,622.5
01/28/2022,636,171303,623.25,637.25,623
01/27/2022,625.25,135959,625,627.75,621.25
01/26/2022,627,156745,619,627.75,615
01/25/2022,620,282319,620,631,618.5
01/24/2022,621,176536,617.5,621.5,609.25
01/21/2022,616.25,174099,607.5,618.5,604.25
01/20/2022,611,114595,609,614.25,606.25
01/19/2022,610.5,162521,600,614.5,600
01/18/2022,599.5,123094,592.75,600.75,588.25
01/14/2022,596.25,128306,587.5,598.25,585.25
01/13/2022,587.5,165715,599,599.75,585.25
01/12/2022,599,166118,601,604,591
01/11/2022,601,111669,599.75,604.75,598
01/10/2022,599.75,118207,605.25,608,596.25
01/07/2022,606.75,120756,605.25,608.25,599
01/06/2022,603.75,123495,601.25,605.75,596
01/05/2022,602.25,121982,608.5,609.75,601.25
01/04/2022,609.5,189288,591.75,611.25,591.5
01/03/2022,589.25,131545,599,603.5,584.75
12/31/2021,593.25,61810,595.75,599.25,592.5
12/30/2021,596,111580,605.5,606,592.75
12/29/2021,605.5,105646,604,610.75,599.5
12/28/2021,604.75,114139,614.25,617.75,603.75
12/27/2021,614.75,112950,608.25,615.5,607
12/23/2021,605.75,95392,601.5,607,600.5
12/22/2021,602.5,143221,597.5,606.75,597
12/21/2021,598.25,104008,591,599,589.5
12/20/2021,591,93330,595,595.75,587
12/17/2021,593.25,114498,591,598.75,589.25
12/16/2021,591.25,89453,587.5,592,584.5
12/15/2021,585.75,127682,590,596.5,582
12/14/2021,588.75,115,583.25,591,576.75
12/13/2021,584.25,927,587.5,588,580.75
12/10/2021,588.5,862,588.5,592,585
12/09/2021,588.5,2082,585.75,591.25,576.75
12/08/2021,584.75,2372,585,589,584
12/07/2021,586.25,1885,584,589.5,579.5
12/06/2021,583.5,2117,586,586,578
12/03/2021,586,3342,576.25,588.75,576.25
12/02/2021,577,6025,571.25,583,570
12/01/2021,572,6059,568,576,567
11/30/2021,567,23972,581,582,562
11/29/2021,581,131976,586,588.25,576.5
11/26/2021,586.75,147030,571.5,588,566.75
11/24/2021,579.75,219251,580.25,589,575.5
11/23/2021,580.5,137313,576.25,581,572.5
11/22/2021,576.75,137021,570.5,579,569.75
11/19/2021,570.75,103872,573,576,568
11/18/2021,573,143428,575,583,572
11/17/2021,575.25,163150,570.75,584,570
11/16/2021,571,121436,576,577.5,570
11/15/2021,576.5,111883,576.25,578.75,569.75
11/12/2021,577.25,148512,569.25,582,566.75
11/11/2021,569.5,226355,567.75,579,566
11/10/2021,569.25,168699,555.5,571.75,555
11/09/2021,554.75,210256,551,564,547.75
11/08/2021,551.5,130174,552,554.75,549.5
11/05/2021,553,162760,560,562.75,552.25
11/04/2021,559.25,132388,563.75,569.75,556.5
11/03/2021,564,133940,572,573.25,563
11/02/2021,573,160418,578.25,586,572
11/01/2021,579,177181,568,582,565.25
10/29/2021,568.25,121183,562.5,569.25,558.75
10/28/2021,562.75,147522,556.5,568.75,554
10/27/2021,557.25,216908,542.5,563.25,539.5
10/26/2021,543.5,133888,538,547.25,533
10/25/2021,538,90174,537,542,535
10/22/2021,538,97797,533,540,532
10/21/2021,532.25,109241,539,540,530.75
10/20/2021,539.25,117556,530,540,528.5
10/19/2021,530.25,105640,532,537,529.5
10/18/2021,532.75,104053,525.75,533.75,523
10/15/2021,525.75,119675,516.25,528.5,514.25
10/14/2021,516.75,127448,512.25,518.25,511
10/13/2021,512.25,186791,523,525.25,506.75
10/12/2021,522.5,180540,532.75,533,519.25
10/11/2021,533,87677,530,534,528.75
10/08/2021,530.5,85355,533.25,538.75,530
10/07/2021,534,94209,532.75,535.25,527.5
10/06/2021,532.25,114303,537,544.75,531.5
10/05/2021,537.5,104951,540,543,535.25
10/04/2021,540.75,107676,540,547.5,536
10/01/2021,541.5,125141,536.75,545.25,532
