Date,Close/Last,Volume,Open,High,Low
03/04/2022,1209,33461,1209,1209,1209
03/03/2022,1134,82212,1071.5,1134,1070
03/02/2022,1059,100614,1014,1059,985.25
03/01/2022,984,49838,934.5,984,932.25
02/28/2022,934,103275,930.25,934.75,885.5
02/25/2022,859.75,106417,930.25,960.75,859.75
02/24/2022,934.75,109750,891.5,934.75,885.5
02/23/2022,884.75,93902,849,888.75,842.75
02/22/2022,852.5,96416,823.75,854,810.75
02/18/2022,804,52775,804.25,818.75,797
02/17/2022,804.75,53396,786,805.5,781.5
02/16/2022,786.25,33670,785,793,779.5
02/15/2022,785.75,46086,807.75,808.5,779.5
02/14/2022,805.5,49376,809.25,820,787.5
02/11/2022,804,62806,778.25,812.75,772
02/10/2022,771.5,86501,785.5,801.75,765.75
02/09/2022,785,90940,779.5,788.25,770.5
02/08/2022,778.75,91366,771.25,782,754
02/07/2022,768.75,76580,776,776.5,760
02/04/2022,763.25,47214,754.75,767.25,748.25
02/03/2022,751.75,47839,754,756.5,740
02/02/2022,755,64470,770,778.5,749.25
02/01/2022,769,49757,762.5,776.75,760.5
01/31/2022,761.25,67421,793,798.5,756.75
01/28/2022,786.25,47253,777.25,793.5,774.75
01/27/2022,777,58389,794.25,795.5,774
01/26/2022,795,70404,817.25,817.5,787
01/25/2022,818,71723,801,831.5,800.5
01/24/2022,800.5,56457,794,802.5,775.75
01/21/2022,780,45306,788,791,778
01/20/2022,790.25,55848,794,802.75,783.75
01/19/2022,796.5,64593,772,797.25,769.5
01/18/2022,769,66931,742.25,771.5,741.25
01/14/2022,741.5,42065,746,747.25,737
01/13/2022,746.75,45671,757,757.75,741
01/12/2022,757.75,48505,768,770,753.5
01/11/2022,770.25,40008,761.75,770.5,758.25
01/10/2022,762,42879,760.75,767.5,748
01/07/2022,758.5,55223,748,760.75,735.5
01/06/2022,746,61257,761.75,762,736
01/05/2022,760.75,36896,771,771.5,756
01/04/2022,770,40947,758,771.5,756.25
01/03/2022,758,40447,774,782.25,752.75
12/31/2021,770.75,23572,782.5,787.75,769.5
12/30/2021,779.75,28053,789.5,791.75,776
12/29/2021,787.75,39041,785.25,793,774
12/28/2021,783.5,40740,805.75,808,781.75
12/27/2021,804,28865,817.5,824,802.5
12/23/2021,814.75,34837,812.5,820.5,808.25
12/22/2021,814,47637,796.75,817,792
12/21/2021,799,44518,778.5,799.75,772.5
12/20/2021,777.75,37332,777.5,778.75,757.75
12/17/2021,775,35883,770,780.25,765.25
12/16/2021,770.5,48408,757.5,773,751.25
12/15/2021,756,73093,787,787,751
12/14/2021,787,32225,789.5,792.25,777.5
12/13/2021,788.75,35847,784.75,794,776
12/10/2021,785.25,35371,779,788,768
12/09/2021,776.75,60546,796,796.5,770.5
12/08/2021,794.5,36837,810,812,790.75
12/07/2021,808.5,33855,808.5,813.5,797.5
12/06/2021,806.25,37563,810.75,812,789.5
